date,player1,player2,player1 points,player2 points
19. September 2013,P-Zak,Battleboi Basti,0,3
2. Oktober 2013,Koozy,Fatcap,2,1
16. Oktober 2013,Drob Dynamic,Laas Unltd.,0,3
6. November 2013,Takt32,Separate,2,1
20. November 2013,Amah,Mighty P.,0,3
18. Dezember 2013,P-Zak,Iron Basic,2,1
15. Januar 2014,Le Nerd,Fresh Polakke,0,3
5. Februar 2014,Koozy,Mighty Mo,0,3
19. Februar 2014,Brian Damage,Drob Dynamic,3,0
16. April 2014,Pille,Gozpel,0,3
7. Mai 2014,Ssynic,Jack Dragon,3,0
13. Juni 2014,Merlin,Roni 87,2,1
3. September 2014,Ssynic,Bong Teggy,2,1
1. Oktober 2014,4Tune,Merlin,0,3
15. Oktober 2014,RV,Jack Dragon,2,1
5. November 2014,Besser,MC Maik,3,0
19. November 2014,Pille,Tobi Nice,0,3
3. Dezember 2014,Merlin,Ssynic,1,2
17. Dezember 2014,Bong Teggy,Mighty Mo,1,2
7. Januar 2015,MC Maik,Roni 87,3,0
4. Februar 2015,BDad,Tobi Nice,1,2
18. Februar 2015,Besser,Mars B,3,0
18. März 2015,Merlin,Davie Jones,1,2
1. April 2015,Doktor Dave,Drob Dynamic,0,3
15. April 2015,Ssynic,Cashisclay,3,0
20. Mai 2015,Petschino,Mighty Mo,2,1
3. Juni 2015,Gozpel,Battleboi Basti,2,1
2. September 2015,Davie Jones,Z,1,2
25. September 2015,Notyzze,Ali Affront,2,1
16. Oktober 2015,Mighty P.,Nedal Nib,2,1
13. November 2015,Mikz,MC Maik,2,1
28. November 2015,Amah,McTwist,0,3
11. Dezember 2015,RV,Tobi Nice,3,0
25. Dezember 2015,Lyrico,Davie Jones,0,3
15. Januar 2016,Ssynic,Bong Teggy,3,0
29. Januar 2016,Buy Some,Georg Midas,3,0
12. Februar 2016 MC Maik,Fresh Polakke,0,3
11. März 2016,Gugo,Yarambo,1,2
20. April 2016,Notyzze,Buy Some,1,2
18. Mai 2016,Yarambo,Barracuda,3,0
1. Juni 2016,Gugo,Finch Asozial,0,3
21. September 2016,Jizi,Jey Jey Glünderling,0,3
