rank,name,elo,wins,losses,ties,rating_of_100
1,Ssynic,1290,5,0,0,44.99
2,Buy Some,1240,2,0,0,43.84
3,RV,1240,2,0,0,43.84
4,Gozpel,1240,2,0,0,43.84
5,Yarambo,1239,2,0,0,43.82
6,Besser,1239,2,0,0,43.82
7,Mighty P.,1239,2,0,0,43.82
8,Fresh Polakke,1238,2,0,0,43.8
9,Petschino,1222,1,0,0,43.44
10,Z,1221,1,0,0,43.41
11,Jey Jey Glünderling,1220,1,0,0,43.39
12,Mikz,1220,1,0,0,43.39
13,Davie Jones,1220,2,1,0,43.39
14,Takt32,1220,1,0,0,43.39
15,Laas Unltd.,1220,1,0,0,43.39
16,Finch Asozial,1219,1,0,0,43.37
17,McTwist,1219,1,0,0,43.37
18,Brian Damage,1219,1,0,0,43.37
19,Tobi Nice,1217,2,1,0,43.32
20,Mighty Mo,1217,2,1,0,43.32
21,P-Zak,1201,1,1,0,42.96
22,Notyzze,1200,1,1,0,42.94
23,Battleboi Basti,1200,1,1,0,42.94
24,Koozy,1199,1,1,0,42.92
25,Merlin,1198,2,2,0,42.89
26,Cashisclay,1183,0,1,0,42.56
27,Drob Dynamic,1183,1,2,0,42.56
28,Barracuda,1181,0,1,0,42.51
29,Nedal Nib,1181,0,1,0,42.51
30,Mars B,1181,0,1,0,42.51
31,BDad,1181,0,1,0,42.51
32,4Tune,1181,0,1,0,42.51
33,Jizi,1180,0,1,0,42.49
34,Georg Midas,1180,0,1,0,42.49
35,Lyrico,1180,0,1,0,42.49
36,Ali Affront,1180,0,1,0,42.49
37,Le Nerd,1180,0,1,0,42.49
38,Separate,1180,0,1,0,42.49
39,Fatcap,1180,0,1,0,42.49
40,Iron Basic,1179,0,1,0,42.47
41,Doktor Dave,1178,0,1,0,42.45
42,MC Maik,1162,1,3,0,42.09
43,Gugo,1161,0,2,0,42.07
44,Jack Dragon,1161,0,2,0,42.07
45,Pille,1161,0,2,0,42.07
46,Amah,1161,0,2,0,42.07
47,Roni 87,1160,0,2,0,42.04
48,Bong Teggy,1149,0,3,0,41.8
